"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"FAN5333BSX","ON Semiconductor","FAN5333BSXCT-ND","","","Cut Tape (CT)","Active","1","0.99000","$0.99","10107","38 Weeks","IC LED DRIVER RGLTR DIM SOT23-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"MBR0540","ON Semiconductor","MBR0540CT-ND","","","Cut Tape (CT)","Active","1","0.33000","$0.33","249589","20 Weeks","DIODE SCHOTTKY 40V 500MA SOD123","ROHS3 Compliant","Lead free","REACH Unaffected"
"SMAZ24-TP","Micro Commercial Co","SMAZ24-TPMSCT-ND","","","Cut Tape (CT)","Active","1","0.42000","$0.42","17598","12 Weeks","DIODE ZENER 24V 1W DO214AC","ROHS3 Compliant","Lead free","REACH Unaffected"
"ASPI-0615FS-6R8M-T2","Abracon LLC","535-10777-1-ND","","","Cut Tape (CT)","Active","1","0.77000","$0.77","5337","15 Weeks","FIXED IND 6.8UH 1.8A 60 MOHM SMD","RoHS Compliant","Lead free","REACH Unaffected"
"NHD-4.3-480272EF-ASXN#-CTP","Newhaven Display Intl","NHD-4.3-480272EF-ASXN#-CTP-ND","","","Bulk","Active","1","64.93000","$64.93","78","18 Weeks","LCD 4.3""TFT CAP TOUCH SUNL READ","RoHS Compliant","Lead free","REACH Unaffected"
"0522710679","Molex","WM7955CT-ND","","","Cut Tape (CT)","Active","1","0.99000","$0.99","10457","8 Weeks","CONN FPC BOTTOM 6POS 1.00MM R/A","ROHS3 Compliant","Lead free","REACH Unaffected"
"0541044031","Molex","WM3431CT-ND","","","Cut Tape (CT)","Active","1","2.94000","$2.94","12516","10 Weeks","CONN FFC TOP 40POS 0.50MM R/A","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-0712RL","Yageo","311-12.0CRCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","205143","33 Weeks","RES SMD 12 OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805FT10K0","Stackpole Electronics Inc","RMCF0805FT10K0CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","3783996","17 Weeks","RES 10K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"GCM21BR7YA105KA55L","Murata Electronics","490-5320-1-ND","","","Cut Tape (CT)","Active","2","0.40000","$0.80","575035","15 Weeks","CAP CER 1UF 35V X7R 0805","ROHS3 Compliant","Lead free","Not Available"
"CL21A106KPFNNNE","Samsung Electro-Mechanics","1276-1052-1-ND","","","Cut Tape (CT)","Active","1","0.14000","$0.14","541732","22 Weeks","CAP CER 10UF 10V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C104K6RAC7800","KEMET","399-17618-1-ND","","","Cut Tape (CT)","Active","1","0.55000","$0.55","2323","8 Weeks","CAP CER SMD 0805 .1UF 35V 10% X7","ROHS3 Compliant","Lead free","REACH Unaffected"